"STAID","SOUID","DATE","HU","Q_HU"
163,2423,20170901,81,0
163,2423,20171001,81,0
164,2423,20170101,97,0
164,2423,20170201,87,0
164,2423,20170301,85,0
164,2423,20170401,88,0
164,2423,20170501,71,0
164,2423,20170601,69,0
164,2423,20170701,89,0
164,2423,20170801,80,0
164,2423,20170901,81,0
164,2423,20171001,81,0
166,2043,20170101,97,0
166,2043,20170201,96,0
166,2043,20170301,86,0
166,2043,20170401,85,0
166,2043,20170501,75,0
166,2043,20170601,65,0
166,2043,20170701,82,0
166,2043,20170801,71,0
166,2043,20170901,77,0
166,2043,20171001,83,0
167,15796,20170101,-9999,9
167,15796,20170201,-9999,9
167,15796,20170301,-9999,9
167,15796,20170401,-9999,9
167,15796,20170501,-9999,9
167,15796,20170601,-9999,9
167,15796,20170701,-9999,9
167,15796,20170801,-9999,9
167,15796,20170901,-9999,9
167,15796,20171001,-9999,9
168,2106,20170101,85,0
168,2106,20170201,87,0
168,2106,20170301,86,0
168,2106,20170401,85,0
168,2106,20170501,67,0
168,2106,20170601,60,0
168,2106,20170701,95,0
168,2106,20170801,84,0
168,2106,20170901,75,0
168,2106,20171001,74,0
174,916320,20170101,81,0
174,916320,20170201,86,0
174,916320,20170301,86,0
174,916320,20170401,65,0
174,916320,20170501,92,0
174,916320,20170601,78,0
174,916320,20170701,78,0
174,916320,20170801,85,0
174,916320,20170901,75,0
174,916320,20171001,84,0
175,5258,20170101,-9999,9
175,5258,20170201,-9999,9
175,5258,20170301,-9999,9
175,5258,20170401,-9999,9
175,5258,20170501,-9999,9
175,5258,20170601,-9999,9
175,5258,20170701,-9999,9
175,5258,20170801,-9999,9
175,5258,20170901,-9999,9
175,5258,20171001,-9999,9
176,5263,20170101,-9999,9
176,5263,20170201,-9999,9
176,5263,20170301,-9999,9
176,5263,20170401,-9999,9
176,5263,20170501,-9999,9
176,5263,20170601,-9999,9
176,5263,20170701,-9999,9
176,5263,20170801,-9999,9
176,5263,20170901,-9999,9
176,5263,20171001,-9999,9
177,5268,20170101,-9999,9
177,5268,20170201,-9999,9
177,5268,20170301,-9999,9
177,5268,20170401,-9999,9
177,5268,20170501,-9999,9
177,5268,20170601,-9999,9
177,5268,20170701,-9999,9
177,5268,20170801,-9999,9
177,5268,20170901,-9999,9
177,5268,20171001,-9999,9
179,10200,20170101,66,0
179,10200,20170201,71,0
179,10200,20170301,77,0
179,10200,20170401,70,0
179,10200,20170501,94,0
179,10200,20170601,86,0
179,10200,20170701,81,0
179,10200,20170801,88,0
179,10200,20170901,78,0
179,10200,20171001,82,0
183,9697,20170101,85,0
183,9697,20170201,89,0
183,9697,20170301,91,0
183,9697,20170401,90,0
183,9697,20170501,65,0
183,9697,20170601,46,0
183,9697,20170701,53,0
183,9697,20170801,75,0
183,9697,20170901,91,0
183,9697,20171001,82,0
185,9506,20170101,87,0
185,9506,20170201,83,0
185,9506,20170301,80,0
185,9506,20170401,73,0
185,9506,20170501,78,0
185,9506,20170601,73,0
185,9506,20170701,52,0
185,9506,20170801,90,0
185,9506,20170901,86,0
185,9506,20171001,82,0
186,9535,20170101,62,0
186,9535,20170201,72,0
186,9535,20170301,82,0
186,9535,20170401,72,0
186,9535,20170501,79,0
186,9535,20170601,67,0
186,9535,20170701,63,0
186,9535,20170801,83,0
186,9535,20170901,70,0
186,9535,20171001,96,0
187,9531,20170101,75,0
187,9531,20170201,71,0
187,9531,20170301,82,0
187,9531,20170401,78,0
187,9531,20170501,92,0
187,9531,20170601,87,0
187,9531,20170701,87,0
187,9531,20170801,92,0
187,9531,20170901,-9999,9
187,9531,20171001,99,0
188,9416,20170101,-9999,9
188,9416,20170201,-9999,9
188,9416,20170301,-9999,9
188,9416,20170401,-9999,9
188,9416,20170501,-9999,9
188,9416,20170601,-9999,9
188,9416,20170701,-9999,9
188,9416,20170801,-9999,9
188,9416,20170901,-9999,9
188,9416,20171001,-9999,9
189,9539,20170101,69,0
189,9539,20170201,97,0
189,9539,20170301,73,0
189,9539,20170401,75,0
189,9539,20170501,83,0
189,9539,20170601,85,0
189,9539,20170701,90,0
189,9539,20170801,86,0
189,9539,20170901,91,0
189,9539,20171001,93,0
190,9472,20170101,91,0
190,9472,20170201,82,0
190,9472,20170301,83,0
190,9472,20170401,65,0
190,9472,20170501,80,0
190,9472,20170601,68,0
190,9472,20170701,48,0
190,9472,20170801,89,0
190,9472,20170901,85,0
190,9472,20171001,92,0
191,901233,20170101,73,0
191,901233,20170201,88,0
191,901233,20170301,68,0
191,901233,20170401,70,0
191,901233,20170501,49,0
191,901233,20170601,61,0
191,901233,20170701,48,0
191,901233,20170801,61,0
