"STAID","SOUID","DATE","RR","Q_RR"
1366,3120,20170401,-9999,9
1366,3120,20170501,-9999,9
1366,3120,20170601,-9999,9
1366,3120,20170701,-9999,9
1366,3120,20170801,-9999,9
1366,3120,20170901,-9999,9
1366,3120,20171001,-9999,9
1367,52305,20170101,-9999,9
1367,52305,20170201,-9999,9
1367,52305,20170301,-9999,9
1367,52305,20170401,-9999,9
1367,52305,20170501,-9999,9
1367,52305,20170601,-9999,9
1367,52305,20170701,-9999,9
1367,52305,20170801,-9999,9
1367,52305,20170901,-9999,9
1367,52305,20171001,-9999,9
1369,52315,20170101,-9999,9
1369,52315,20170201,-9999,9
1369,52315,20170301,-9999,9
1369,52315,20170401,-9999,9
1369,52315,20170501,-9999,9
1369,52315,20170601,-9999,9
1369,52315,20170701,-9999,9
1369,52315,20170801,-9999,9
1369,52315,20170901,-9999,9
1369,52315,20171001,-9999,9
1370,3130,20170101,-9999,9
1370,3130,20170201,-9999,9
1370,3130,20170301,-9999,9
1370,3130,20170401,-9999,9
1370,3130,20170501,-9999,9
1370,3130,20170601,-9999,9
1370,3130,20170701,-9999,9
1370,3130,20170801,-9999,9
1370,3130,20170901,-9999,9
1370,3130,20171001,-9999,9
1371,3131,20170101,-9999,9
1371,3131,20170201,-9999,9
1371,3131,20170301,-9999,9
1371,3131,20170401,-9999,9
1371,3131,20170501,-9999,9
1371,3131,20170601,-9999,9
1371,3131,20170701,-9999,9
1371,3131,20170801,-9999,9
1371,3131,20170901,-9999,9
1371,3131,20171001,-9999,9
1372,52345,20170101,-9999,9
1372,52345,20170201,-9999,9
1372,52345,20170301,-9999,9
1372,52345,20170401,-9999,9
1372,52345,20170501,-9999,9
1372,52345,20170601,-9999,9
1372,52345,20170701,-9999,9
1372,52345,20170801,-9999,9
1372,52345,20170901,-9999,9
1372,52345,20171001,-9999,9
1373,3135,20170101,-9999,9
1373,3135,20170201,-9999,9
1373,3135,20170301,-9999,9
1373,3135,20170401,-9999,9
1373,3135,20170501,-9999,9
1373,3135,20170601,-9999,9
1373,3135,20170701,-9999,9
1373,3135,20170801,-9999,9
1373,3135,20170901,-9999,9
1373,3135,20171001,-9999,9
1374,3138,20170101,-9999,9
1374,3138,20170201,-9999,9
1374,3138,20170301,-9999,9
1374,3138,20170401,-9999,9
1374,3138,20170501,-9999,9
1374,3138,20170601,-9999,9
1374,3138,20170701,-9999,9
1374,3138,20170801,-9999,9
1374,3138,20170901,-9999,9
1374,3138,20171001,-9999,9
1376,3144,20170101,-9999,9
1376,3144,20170201,-9999,9
1376,3144,20170301,-9999,9
1376,3144,20170401,-9999,9
1376,3144,20170501,-9999,9
1376,3144,20170601,-9999,9
1376,3144,20170701,-9999,9
1376,3144,20170801,-9999,9
1376,3144,20170901,-9999,9
1376,3144,20171001,-9999,9
1377,3145,20170101,-9999,9
1377,3145,20170201,-9999,9
1377,3145,20170301,-9999,9
1377,3145,20170401,-9999,9
1377,3145,20170501,-9999,9
1377,3145,20170601,-9999,9
1377,3145,20170701,-9999,9
1377,3145,20170801,-9999,9
1377,3145,20170901,-9999,9
1377,3145,20171001,-9999,9
1378,52385,20170101,-9999,9
1378,52385,20170201,-9999,9
1378,52385,20170301,-9999,9
1378,52385,20170401,-9999,9
1378,52385,20170501,-9999,9
1378,52385,20170601,-9999,9
1378,52385,20170701,-9999,9
1378,52385,20170801,-9999,9
1378,52385,20170901,-9999,9
1378,52385,20171001,-9999,9
1379,17394,20170101,-9999,9
1379,17394,20170201,-9999,9
1379,17394,20170301,-9999,9
1379,17394,20170401,-9999,9
1379,17394,20170501,-9999,9
1379,17394,20170601,-9999,9
1379,17394,20170701,-9999,9
1379,17394,20170801,-9999,9
1379,17394,20170901,-9999,9
1379,17394,20171001,-9999,9
1380,52390,20170101,-9999,9
1380,52390,20170201,-9999,9
1380,52390,20170301,-9999,9
1380,52390,20170401,-9999,9
1380,52390,20170501,-9999,9
1380,52390,20170601,-9999,9
1380,52390,20170701,-9999,9
1380,52390,20170801,-9999,9
1380,52390,20170901,-9999,9
1380,52390,20171001,-9999,9
1381,3155,20170101,-9999,9
1381,3155,20170201,-9999,9
1381,3155,20170301,-9999,9
1381,3155,20170401,-9999,9
1381,3155,20170501,-9999,9
1381,3155,20170601,-9999,9
1381,3155,20170701,-9999,9
1381,3155,20170801,-9999,9
1381,3155,20170901,-9999,9
1381,3155,20171001,-9999,9
1382,3156,20170101,-9999,9
1382,3156,20170201,-9999,9
1382,3156,20170301,-9999,9
1382,3156,20170401,-9999,9
1382,3156,20170501,-9999,9
1382,3156,20170601,-9999,9
1382,3156,20170701,-9999,9
1382,3156,20170801,-9999,9
1382,3156,20170901,-9999,9
1382,3156,20171001,-9999,9
1384,933658,20170101,0,0
1384,933658,20170201,0,0
1384,933658,20170301,20,0
1384,933658,20170401,0,0
1384,933658,20170501,0,0
1384,933658,20170601,0,0
1384,933658,20170701,0,0
1384,933658,20170801,0,0
1384,933658,20170901,0,0
1384,933658,20171001,0,0
1387,17384,20170101,-9999,9
1387,17384,20170201,-9999,9
1387,17384,20170301,-9999,9
1387,17384,20170401,-9999,9
1387,17384,20170501,-9999,9
