"STAID","SOUID","DATE","DD","Q_DD"
5003,33142,20170301,108,0
5003,33142,20170401,349,0
5003,33142,20170501,191,0
5003,33142,20170601,-9999,9
5003,33142,20170701,342,0
5003,33142,20170801,162,0
5003,33142,20170901,32,0
5003,33142,20171001,192,0
5004,33154,20170101,50,0
5004,33154,20170201,259,0
5004,33154,20170301,154,0
5004,33154,20170401,330,0
5004,33154,20170501,243,0
5004,33154,20170601,39,0
5004,33154,20170701,74,0
5004,33154,20170801,142,0
5004,33154,20170901,9,0
5004,33154,20171001,333,0
5005,33166,20170101,49,0
5005,33166,20170201,238,0
5005,33166,20170301,229,0
5005,33166,20170401,323,0
5005,33166,20170501,244,0
5005,33166,20170601,35,0
5005,33166,20170701,84,0
5005,33166,20170801,93,0
5005,33166,20170901,336,0
5005,33166,20171001,2,0
5009,33214,20170101,53,0
5009,33214,20170201,274,0
5009,33214,20170301,268,0
5009,33214,20170401,307,0
5009,33214,20170501,203,0
5009,33214,20170601,25,0
5009,33214,20170701,28,0
5009,33214,20170801,76,0
5009,33214,20170901,127,0
5009,33214,20171001,174,0
5018,33322,20170101,237,0
5018,33322,20170201,3,0
5018,33322,20170301,4,0
5018,33322,20170401,30,0
5018,33322,20170501,196,0
5018,33322,20170601,296,0
5018,33322,20170701,216,0
5018,33322,20170801,179,0
5018,33322,20170901,32,0
5018,33322,20171001,88,0
5031,33478,20170101,-9999,9
5031,33478,20170201,-9999,9
5031,33478,20170301,-9999,9
5031,33478,20170401,-9999,9
5031,33478,20170501,-9999,9
5031,33478,20170601,-9999,9
5031,33478,20170701,-9999,9
5031,33478,20170801,-9999,9
5031,33478,20170901,-9999,9
5031,33478,20171001,-9999,9
5039,33574,20170101,40,0
5039,33574,20170201,280,0
5039,33574,20170301,240,0
5039,33574,20170401,240,0
5039,33574,20170501,240,0
5039,33574,20170601,270,0
5039,33574,20170701,280,0
5039,33574,20170801,80,0
5039,33574,20170901,160,0
5039,33574,20171001,160,0
5042,33754,20170101,8,0
5042,33754,20170201,160,0
5042,33754,20170301,195,0
5042,33754,20170401,189,0
5042,33754,20170501,12,0
5042,33754,20170601,269,0
5042,33754,20170701,264,0
5042,33754,20170801,236,0
5042,33754,20170901,232,0
5042,33754,20171001,215,0
5046,33658,20170101,348,0
5046,33658,20170201,185,0
5046,33658,20170301,214,0
5046,33658,20170401,220,0
5046,33658,20170501,58,0
5046,33658,20170601,268,0
5046,33658,20170701,287,0
5046,33658,20170801,225,0
5046,33658,20170901,237,0
5046,33658,20171001,173,0
5047,33670,20170101,336,0
5047,33670,20170201,49,0
5047,33670,20170301,258,0
5047,33670,20170401,82,0
5047,33670,20170501,169,0
5047,33670,20170601,253,0
5047,33670,20170701,315,0
5047,33670,20170801,264,0
5047,33670,20170901,237,0
5047,33670,20171001,97,0
5049,33694,20170101,354,0
5049,33694,20170201,108,0
5049,33694,20170301,116,0
5049,33694,20170401,62,0
5049,33694,20170501,63,0
5049,33694,20170601,267,0
5049,33694,20170701,255,0
5049,33694,20170801,258,0
5049,33694,20170901,-9999,9
5049,33694,20171001,68,0
5051,33718,20170101,-9999,9
5051,33718,20170201,-9999,9
5051,33718,20170301,-9999,9
5051,33718,20170401,-9999,9
5051,33718,20170501,-9999,9
5051,33718,20170601,-9999,9
5051,33718,20170701,-9999,9
5051,33718,20170801,-9999,9
5051,33718,20170901,-9999,9
5051,33718,20171001,-9999,9
5052,33730,20170101,-9999,9
5052,33730,20170201,256,0
5052,33730,20170301,-9999,9
5052,33730,20170401,252,0
5052,33730,20170501,252,0
5052,33730,20170601,89,0
5052,33730,20170701,167,0
5052,33730,20170801,284,0
5052,33730,20170901,200,0
5052,33730,20171001,89,0
5054,33754,20170101,8,0
5054,33754,20170201,160,0
5054,33754,20170301,195,0
5054,33754,20170401,189,0
5054,33754,20170501,12,0
5054,33754,20170601,269,0
5054,33754,20170701,264,0
5054,33754,20170801,236,0
